"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_FO|844726","844726","SENSEX24SEP79400CE",,"0.0","2024-09-27","79400","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844727","844727","SENSEX24SEP73400CE",,"0.0","2024-09-27","73400","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844728","844728","SENSEX24SEP75700CE",,"0.0","2024-09-27","75700","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844729","844729","SENSEX24SEP80400PE",,"0.0","2024-09-27","80400","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844732","844732","SENSEX24SEP81100CE",,"0.0","2024-09-27","81100","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|1112906","1112906","BANKEX24JUL52700CE",,"0.0","2024-07-29","52700","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844737","844737","SENSEX24SEP75100PE",,"0.0","2024-09-27","75100","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844738","844738","SENSEX24SEP77400PE",,"0.0","2024-09-27","77400","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844739","844739","SENSEX24SEP79700PE",,"0.0","2024-09-27","79700","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844740","844740","BANKEX24JUL61500PE",,"0.0","2024-07-29","61500","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844741","844741","SENSEX24SEP73700PE",,"0.0","2024-09-27","73700","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844742","844742","BANKEX24JUL62200CE",,"0.0","2024-07-29","62200","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844747","844747","SENSEX24SEP77300CE",,"0.0","2024-09-27","77300","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844748","844748","SENSEX24SEP79600CE",,"0.0","2024-09-27","79600","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844751","844751","BANKEX24JUL62500PE",,"0.0","2024-07-29","62500","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844752","844752","SENSEX24SEP73600CE",,"0.0","2024-09-27","73600","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844753","844753","SENSEX24SEP75900CE",,"0.0","2024-09-27","75900","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844754","844754","BANKEX24AUG62000PE",,"0.0","2024-08-26","62000","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844755","844755","SENSEX24SEP81300CE",,"0.0","2024-09-27","81300","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844759","844759","SENSEX24SEP75300PE",,"0.0","2024-09-27","75300","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844760","844760","SENSEX24SEP77600PE",,"0.0","2024-09-27","77600","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844761","844761","SENSEX24SEP79900PE",,"0.0","2024-09-27","79900","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844762","844762","SENSEX24SEP73900PE",,"0.0","2024-09-27","73900","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844764","844764","BANKEX24JUL62400CE",,"0.0","2024-07-29","62400","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844768","844768","SENSEX24SEP75200CE",,"0.0","2024-09-27","75200","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844769","844769","SENSEX24SEP77500CE",,"0.0","2024-09-27","77500","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844770","844770","SENSEX24SEP79800CE",,"0.0","2024-09-27","79800","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844773","844773","SENSEX24SEP73800CE",,"0.0","2024-09-27","73800","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844776","844776","BANKEX24AUG62200PE",,"0.0","2024-08-26","62200","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844780","844780","SENSEX24SEP79200PE",,"0.0","2024-09-27","79200","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844783","844783","SENSEX24SEP75500PE",,"0.0","2024-09-27","75500","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844784","844784","SENSEX24SEP77800PE",,"0.0","2024-09-27","77800","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844787","844787","BANKEX24AUG62100CE",,"0.0","2024-08-26","62100","0.05","15","OPTIDX","CE","BSE_FO"
